neighborhood,area,year,room,deposit,rent,floor,elavator,parking,warehouse,balcony,link
دقایقی پیش در تهران، فرمانیه | اجاره آپارتمان,۴۰۰,۱۳۹۹,۴,توافقی,توافقی,۱,آسانسور,پارکینگ,انباری,,https://divar.ir/v/آپارتمان-۴۰۰-متری-نوساز-کلید-نخورده_آپارتمان_تهران_فرمانیه_دیوار/AYNeklhj
دقایقی پیش در تهران، اختیاریه | اجاره آپارتمان,۱۲۰,۱۳۸۰,۲,۲۰۰٫۰۰۰٫۰۰۰ تومان,۶٫۰۰۰٫۰۰۰ تومان,زیرهمکف,آسانسور ندارد,پارکینگ,انباری,,https://divar.ir/v/اپارتمان-۱۲۰متر-۲-خواب-دیباجی-جنوبی_آپارتمان_تهران_اختیاریه_دیوار/AYNiEotO
لحظاتی پیش در تهران، سعادت‌آباد | اجاره آپارتمان,۱۶۵,۱۳۹۴,۳,توافقی,مجانی,۲ از ۵,آسانسور,پارکینگ,انباری,,https://divar.ir/v/۱۶۵متر-سعادت-آباد-علامه-فول_آپارتمان_تهران_سعادت-آباد_دیوار/AYF2UJQ2
لحظاتی پیش در تهران، دریاچه شهدای خلیج فارس | اجاره آپارتمان,۹۸,۱۳۹۱,۲,۱۰۰٫۰۰۰٫۰۰۰ تومان,۸٫۰۰۰٫۰۰۰ تومان,۴,آسانسور,پارکینگ,انباری,,https://divar.ir/v/98-متر-برج-عرفان-دریاچه-چیتگر_آپارتمان_تهران_دریاچه-شهدای-خلیج-فارس_دیوار/AYNekMF_
لحظاتی پیش در تهران، پیروزی | اجاره آپارتمان,۵۰,۱۳۸۵,۱,۵۰٫۰۰۰٫۰۰۰ تومان,۱٫۰۰۰٫۰۰۰ تومان,۲,آسانسور ندارد,پارکینگ ندارد,انباری,,https://divar.ir/v/اپارتمان-50-متری_آپارتمان_تهران_پیروزی_دیوار/AYNaU2CA
دقایقی پیش در تهران، شهر زیبا | اجاره آپارتمان,۶۹,۱۳۸۳,۲,۲۵۰٫۰۰۰٫۰۰۰ تومان,مجانی,,آسانسور,پارکینگ,انباری,,https://divar.ir/v/69-متر-شهر-زیبا-رهن-کامل_آپارتمان_تهران_شهر-زیبا_دیوار/AYNmELdi
لحظاتی پیش در تهران، قیطریه | اجاره آپارتمان,۱۵۳,۱۳۷۱,۳,۸۰۰٫۰۰۰٫۰۰۰ تومان,مجانی,۲,آسانسور ندارد,پارکینگ,انباری,,https://divar.ir/v/153-متر-قیطریه-روشنایی-غربی_آپارتمان_تهران_قیطریه_دیوار/AYNeUwDi
دقایقی پیش در تهران، سعادت‌آباد | اجاره آپارتمان,۲۳۵,۱۳۹۷,۴,۱٫۰۰۰٫۰۰۰٫۰۰۰ تومان,۴۰٫۰۰۰٫۰۰۰ تومان,۵,آسانسور,پارکینگ,انباری,,https://divar.ir/v/۲۳۵متر-۴خواب-مروارید-مشاعات-فعال-کامل-دید-شهر_آپارتمان_تهران_سعادت-آباد_دیوار/AYuRrKY6
دقایقی پیش در تهران، دروس | اجاره آپارتمان,۲۳۰,۱۳۹۸,۳,۱٫۳۰۰٫۰۰۰٫۰۰۰ تومان,۳۰٫۰۰۰٫۰۰۰ تومان,,آسانسور,پارکینگ,انباری,,https://divar.ir/v/230-متری-دیباجی-جنوبی-فول_آپارتمان_تهران_دروس_دیوار/AYHWzFQj
۳ روز پیش در تهران، شهرک راه‌آهن | اجاره آپارتمان,۱۳۴,۱۳۹۹,۳,۳۵۰٫۰۰۰٫۰۰۰ تومان,۶٫۰۰۰٫۰۰۰ تومان,۴,آسانسور,پارکینگ,انباری,,https://divar.ir/v/شهرک-راه-آهن-134متر-سه-خواب_آپارتمان_تهران_شهرک-راه-آهن_دیوار/AYE2DmsY
لحظاتی پیش در تهران، فرمانیه | اجاره آپارتمان,۱۸۰,۱۳۹۰,۳,۴۰۰٫۰۰۰٫۰۰۰ تومان,۲۵٫۰۰۰٫۰۰۰ تومان,۴,آسانسور,پارکینگ,انباری,,https://divar.ir/v/فرمانیه-شرقی-۱۸۰-متر-سه-خواب-فول_آپارتمان_تهران_فرمانیه_دیوار/AYGeG2tD
